COUNTY,PovertyPercentage,Cropland,CroplandPercentage,SpecialtyCrop,SpecialtyCropPercentage
Maverick,30.2,0.21,21.16,0.01,0.769778426
Jackson,10,0.71,71.32,0.00,0.014315411
Jefferson,18,0.35,34.90,0.00,0.00958793
Jim Hogg,12.8,0.67,67.45,0.00,0.000825779
Jim Wells,24.8,0.54,53.98,0.00,0.293291544
Johnson,11.1,0.72,71.63,0.00,0.00061506
Jones,13.1,0.62,62.48,0.00,0.019689566
Karnes,19,0.54,53.80,0.00,0.00078394
Kaufman,12,0.72,72.07,0.00,0.000989564
Kendall,5.8,0.11,11.32,0.00,0.016771074
Kerr,13.6,0.04,4.00,0.00,0.003922825
Kimble,14.1,0.02,1.79,0.00,0.020080021
Kinney,28.1,0.10,10.37,0.00,0.021102196
Knox,18.2,0.44,43.65,0.00,0.001706027
Lamb,17.5,0.92,92.05,0.00,0.028032476
Lampasas,17.3,0.28,27.76,0.00,0.069164106
La Salle,21.1,0.28,27.61,0.00,0.052603972
Lavaca,10.8,0.54,53.65,0.00,0.160096755
Liberty,15.8,0.34,34.35,0.00,0.001270228
Limestone,20.3,0.70,69.77,0.00,0.005027136
Live Oak,16.7,0.36,36.20,0.00,0.006119634
Llano,10.3,0.20,20.36,0.00,0.018600415
Lubbock,19.1,0.85,85.20,0.00,0.039158904
Sabine,16,0.06,6.39,0.00,0
Schleicher,16.7,0.01,1.21,0.00,0.000424203
Scurry,15.2,0.61,61.05,0.00,0.0114102
Shackelford,12.7,0.61,61.40,0.00,0.001024772
Sherman,17.6,0.94,93.70,0.00,0.000602238
Starr,39.8,0.45,44.82,0.00,0.091602453
Stephens,20.8,0.60,59.81,0.00,0.002526579
Sterling,17.8,0.04,3.56,0.00,0.000301017
Stonewall,14.6,0.17,17.06,0.00,0.000339848
Swisher,18.4,0.94,94.07,0.00,0.010918301
Medina,15.8,0.25,25.28,0.00,0.044890304
Midland,12.8,0.07,6.99,0.00,0.009052781
Milam,17.7,0.60,60.18,0.00,0.154025712
Mitchell,15.6,0.38,37.95,0.00,0.032400282
Montague,12.9,0.69,68.79,0.00,0.005370101
Motley,27.4,0.37,37.05,0.00,0.001895773
Newton,14,0.06,5.83,0.00,0
Nolan,19.3,0.19,18.65,0.00,0.004296371
Ochiltree,17.2,0.91,91.06,0.00,0
Oldham,18.6,0.47,46.55,0.00,9.25759E-05
Orange,14.9,0.13,13.40,0.00,0.001098703
Palo Pinto,14.2,0.47,47.15,0.00,0.014703492
Panola,14.6,0.20,20.27,0.00,0
Parmer,19,0.93,93.34,0.00,0.002433972
Potter,21.8,0.59,59.47,0.00,0.005050374
Presidio,29.5,0.11,10.60,0.00,0.000405536
Randall,9.4,0.88,88.18,0.00,0.004030842
Real,20.4,0.04,4.08,0.00,0.007345916
Roberts,12.7,0.75,74.77,0.00,0.000300796
Rockwall,4.9,0.59,58.89,0.00,0
Runnels,19.3,0.38,38.05,0.00,0.002728404
Rusk,13.4,0.28,27.71,0.00,0.0018515
Tarrant,13.1,0.30,30.00,0.00,0.00581525
Taylor,16.8,0.29,29.38,0.00,0.001096183
Terry,21.9,0.76,75.77,0.00,0.161354547
Titus,15.8,0.49,48.62,0.00,0.000571474
Tom Green,16.3,0.17,16.91,0.00,0.005751888
Upshur,13.9,0.29,29.37,0.00,0.005746588
Upton,19.6,0.02,2.32,0.00,0.003470713
Uvalde,27.7,0.17,16.69,0.00,0.169327875
Val Verde,23.4,0.00,0.26,0.00,3.22481E-05
Walker,22.1,0.33,32.66,0.00,0.010145068
Wise,8.8,0.73,73.33,0.00,0.026591543
Yoakum,21,0.49,48.68,0.00,0.122968094
Young,14.1,0.73,72.89,0.00,0.004591624
Zapata,41.4,0.41,41.36,0.00,0.233978903
Archer,8.5,0.82,81.63,0.00,0.014606847
Atascosa,19.5,0.41,41.38,0.00,0.001706916
Bailey,17,0.91,90.88,0.00,0.176500511
Bandera,15.9,0.09,9.13,0.00,0.009497222
Webb,29.9,0.20,19.54,0.00,0.039303482
Wheeler,16.1,0.73,73.00,0.00,0.007135974
Wichita,14.7,0.81,81.28,0.00,0.00828778
Wilbarger,25.3,0.74,73.57,0.00,0.356484564
Willacy,46.9,0.54,54.15,0.00,0.101553508
Wilson,9.4,0.54,53.51,0.00,0.006232764
Cooke,13.6,0.70,69.69,0.00,0.000928254
Coryell,14.9,0.56,56.40,0.00,0.007727482
Crosby,24.5,0.71,71.19,0.00,0.003352781
Culberson,28.5,0.04,4.14,0.00,0.052538281
Dallam,12.5,0.97,97.18,0.00,0.020615058
Dawson,21.9,0.80,79.64,0.00,0.008011976
Deaf Smith,17.8,0.94,94.04,0.00,0.002991654
Denton,8.1,0.61,61.32,0.00,0.001385625
DeWitt,16.6,0.53,53.13,0.00,0.004350859
Bastrop,13.4,0.37,36.63,0.00,0.029877724
Bell,14.2,0.60,59.91,0.00,0.032422553
Blanco,11.5,0.12,12.43,0.00,0.004188841
Borden,5.3,0.44,44.20,0.00,0.001457389
Brewster,17.6,0.03,2.68,0.00,0.000796864
Briscoe,24.3,0.51,50.65,0.00,0.002505289
Brooks,35.1,0.63,63.13,0.00,0.018117517
Brown,17.7,0.26,25.55,0.00,0.058898534
Burnet,12.7,0.23,23.33,0.00,0.001837389
Callahan,12,0.27,27.30,0.00,0.007711217
Collin,6.4,0.58,57.64,0.00,0.000666667
Collingsworth,17.4,0.46,46.43,0.00,0.015119508
Colorado,15.6,0.60,59.70,0.00,0.0259454
Comanche,20.8,0.54,54.00,0.02,1.924421113
Concho,18.2,0.18,18.40,0.00,0.00430128
Donley,14.8,0.44,44.48,0.00,0.002904935
Duval,29.8,0.28,27.63,0.00,0.101116581
Eastland,21.1,0.42,41.59,0.00,0.0247965
Edwards,21.4,0.00,0.20,0.00,0.003212866
El Paso,26.6,0.11,10.91,0.03,2.986289088
Erath,21.7,0.57,56.61,0.00,0.169408446
Falls,23.1,0.81,81.40,0.00,0.033454096
Fannin,15.4,0.71,71.08,0.00,0.00104377
Fayette,11.1,0.55,55.45,0.00,0.026718785
Fisher,15.3,0.42,42.49,0.00,0.009402577
Franklin,15.2,0.53,52.80,0.00,0.00070732
Frio,21.1,0.33,32.92,0.00,0.134236715
Gaines,16.1,0.66,66.44,0.00,0.086360685
Garza,25.3,0.39,38.93,0.00,0.000348966
Gillespie,6.9,0.13,13.00,0.00,0.068341024
Gonzales,19.9,0.45,44.86,0.00,0.038261809
Gray,17.9,0.84,83.75,0.00,0.003776544
Grayson,13.3,0.65,65.25,0.00,0.005074809
Robertson,21.3,0.54,53.89,0.00,0.00899496
Washington,17,0.65,64.76,0.00,0.008439281
Ellis,11.3,0.76,76.47,0.00,0.003724115
Cameron,35.7,0.38,37.75,0.00,0.257231554
Reeves,27.9,0.10,10.29,0.00,0.044980369
Guadalupe,10.1,0.48,47.89,0.00,0.032862293
